Copyright 1986-2022 Xilinx, Inc. All Rights Reserved. Copyright 2022-2026 Advanced Micro Devices, Inc. All Rights Reserved.
---------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2026.1 (win64) Build 6511674 Tue Jun 16 11:02:23 MDT 2026
| Date         : Fri Sep 18 07:44:34 2026
| Host         : 4080PC running 64-bit major release  (build 9200)
| Command      : report_utilization -hierarchical -hierarchical_depth 4 -file F:/oracle/board/attn/attn12-utilization-hier.txt
| Design       : design_1_wrapper
| Device       : xck26-sfvc784-2LV-c
| Speed File   : -2LV
| Design State : Physopt postRoute
---------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+--------------------------------------------------------+------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------+------------+
|                        Instance                        |                              Module                              | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
|         s01_entry_pipeline                             |                   design_1_mem1_0_s01_entry_pipeline_imp_1WQ93O3 |        263 |        262 |       0 |    1 |   685 |      0 |      0 |    0 |          0 |
|         s01_nodes                                      |                            design_1_mem1_0_s01_nodes_imp_1RDUC8B |        351 |        205 |     146 |    0 |   383 |      0 |      0 |    0 |          0 |
|         switchboards                                   |                          design_1_mem1_0_switchboards_imp_555K3T |          0 |          0 |       0 |    0 |   452 |      0 |      0 |    0 |          0 |
|     mem2                                               |                                                  design_1_mem2_0 |       2131 |       1558 |     564 |    9 |  4077 |      0 |      0 |    0 |          0 |
|       inst                                             |                                          design_1_mem2_0_bd_03b1 |       2131 |       1558 |     564 |    9 |  4077 |      0 |      0 |    0 |          0 |
|         m00_exit_pipeline                              |                      design_1_mem2_0_m00_exit_pipeline_imp_UKO2E |        284 |        278 |       0 |    6 |   851 |      0 |      0 |    0 |          0 |
|         m00_nodes                                      |                             design_1_mem2_0_m00_nodes_imp_N3D3I2 |        659 |        376 |     282 |    1 |   729 |      0 |      0 |    0 |          0 |
|         s00_entry_pipeline                             |                    design_1_mem2_0_s00_entry_pipeline_imp_ZK21N9 |        295 |        295 |       0 |    0 |   622 |      0 |      0 |    0 |          0 |
|         s00_nodes                                      |                            design_1_mem2_0_s00_nodes_imp_15IJ5QN |        269 |        133 |     136 |    0 |   325 |      0 |      0 |    0 |          0 |
|         s01_entry_pipeline                             |                    design_1_mem2_0_s01_entry_pipeline_imp_7L1ATD |        264 |        263 |       0 |    1 |   685 |      0 |      0 |    0 |          0 |
|         s01_nodes                                      |                             design_1_mem2_0_s01_nodes_imp_2DK7ND |        354 |        208 |     146 |    0 |   383 |      0 |      0 |    0 |          0 |
|         switchboards                                   |                         design_1_mem2_0_switchboards_imp_1YL7XZV |          0 |          0 |       0 |    0 |   452 |      0 |      0 |    0 |          0 |
|     mem3                                               |                                                  design_1_mem3_0 |       2128 |       1555 |     564 |    9 |  4077 |      0 |      0 |    0 |          0 |
|       inst                                             |                                          design_1_mem3_0_bd_c3e0 |       2128 |       1555 |     564 |    9 |  4077 |      0 |      0 |    0 |          0 |
|         m00_exit_pipeline                              |                    design_1_mem3_0_m00_exit_pipeline_imp_1QYVKCR |        283 |        277 |       0 |    6 |   851 |      0 |      0 |    0 |          0 |
|         m00_nodes                                      |                            design_1_mem3_0_m00_nodes_imp_1DLOEEF |        658 |        375 |     282 |    1 |   729 |      0 |      0 |    0 |          0 |
|         s00_entry_pipeline                             |                    design_1_mem3_0_s00_entry_pipeline_imp_R5CNGO |        293 |        293 |       0 |    0 |   622 |      0 |      0 |    0 |          0 |
|         s00_nodes                                      |                             design_1_mem3_0_s00_nodes_imp_WAHI36 |        268 |        132 |     136 |    0 |   325 |      0 |      0 |    0 |          0 |
|         s01_entry_pipeline                             |                   design_1_mem3_0_s01_entry_pipeline_imp_1XJVIU4 |        265 |        264 |       0 |    1 |   685 |      0 |      0 |    0 |          0 |
|         s01_nodes                                      |                            design_1_mem3_0_s01_nodes_imp_1SRP4MC |        351 |        205 |     146 |    0 |   383 |      0 |      0 |    0 |          0 |
|         switchboards                                   |                          design_1_mem3_0_switchboards_imp_8RJ3D2 |          0 |          0 |       0 |    0 |   452 |      0 |      0 |    0 |          0 |
|     periph                                             |                                                design_1_periph_0 |        819 |        819 |       0 |    0 |   759 |      0 |      0 |    0 |          0 |
|       inst                                             |                                        design_1_periph_0_bd_8523 |        819 |        819 |       0 |    0 |   759 |      0 |      0 |    0 |          0 |
|         sc_ul                                          |                                design_1_periph_0_bd_8523_sc_ul_0 |        819 |        819 |       0 |    0 |   759 |      0 |      0 |    0 |          0 |
|     rsi0                                               |                                                  design_1_rsi0_0 |        139 |        139 |       0 |    0 |   262 |      0 |      0 |    0 |          0 |
|       inst                                             |  design_1_rsi0_0_axis_register_slice_v1_1_35_axis_register_slice |        139 |        139 |       0 |    0 |   262 |      0 |      0 |    0 |          0 |
|         axisc_register_slice_0                         | design_1_rsi0_0_axis_register_slice_v1_1_35_axisc_register_slice |        138 |        138 |       0 |    0 |   261 |      0 |      0 |    0 |          0 |
|     rsi1                                               |                                                  design_1_rsi1_0 |        138 |        138 |       0 |    0 |   298 |      0 |      0 |    0 |          0 |
|       inst                                             |  design_1_rsi1_0_axis_register_slice_v1_1_35_axis_register_slice |        138 |        138 |       0 |    0 |   298 |      0 |      0 |    0 |          0 |
|         axisc_register_slice_0                         | design_1_rsi1_0_axis_register_slice_v1_1_35_axisc_register_slice |        137 |        137 |       0 |    0 |   297 |      0 |      0 |    0 |          0 |
|     rsi2                                               |                                                  design_1_rsi2_0 |        136 |        136 |       0 |    0 |   262 |      0 |      0 |    0 |          0 |
|       inst                                             |  design_1_rsi2_0_axis_register_slice_v1_1_35_axis_register_slice |        136 |        136 |       0 |    0 |   262 |      0 |      0 |    0 |          0 |
|         axisc_register_slice_0                         | design_1_rsi2_0_axis_register_slice_v1_1_35_axisc_register_slice |        135 |        135 |       0 |    0 |   261 |      0 |      0 |    0 |          0 |
|     rsi3                                               |                                                  design_1_rsi3_0 |        136 |        136 |       0 |    0 |   262 |      0 |      0 |    0 |          0 |
